order_id,user_id,item_id,user_segment,cart_value,cart_size,hour_bucket,weekend_flag,item_price,item_margin,popularity_score,category_match_flag,accepted
12,2037,179,budget,516.54,1,late,0,163.1,0.36,0.387,0,0
12,2037,37,budget,516.54,1,late,0,295.37,0.46,0.91,1,0
12,2037,219,budget,516.54,1,late,0,284.0,0.52,0.305,1,0
13,651,219,budget,384.71,2,dinner,1,284.0,0.52,0.305,1,0
13,651,153,budget,384.71,2,dinner,1,171.24,0.58,0.319,1,0
13,651,66,budget,384.71,2,dinner,1,395.59,0.34,0.833,0,0
14,261,285,mid,624.96,2,dinner,1,446.82,0.34,0.107,0,0
14,261,207,mid,624.96,2,dinner,1,336.56,0.27,0.428,0,0
14,261,30,mid,624.96,2,dinner,1,177.34,0.6,0.552,1,0
15,316,109,budget,343.2,1,dinner,0,200.81,0.5,0.712,0,0
15,316,118,budget,343.2,1,dinner,0,61.27,0.63,0.424,1,1
15,316,73,budget,343.2,1,dinner,0,149.92,0.44,1.0,0,0
16,2890,127,budget,571.25,1,dinner,0,115.65,0.52,0.458,1,1
16,2890,244,budget,571.25,1,dinner,0,348.19,0.24,0.569,0,0
16,2890,179,budget,571.25,1,dinner,0,163.1,0.36,0.387,0,0
17,1500,253,premium,299.51,3,dinner,0,338.77,0.29,0.339,0,0
17,1500,176,premium,299.51,3,dinner,0,234.93,0.53,0.63,1,1
17,1500,84,premium,299.51,3,dinner,0,110.81,0.49,0.104,0,0
18,2333,207,budget,367.36,2,lunch,0,336.56,0.27,0.428,0,0
18,2333,44,budget,367.36,2,lunch,0,264.68,0.47,0.519,1,0
18,2333,287,budget,367.36,2,lunch,0,341.68,0.2,0.975,0,0
19,1235,150,mid,378.21,2,late,0,242.57,0.35,0.022,0,0
19,1235,49,mid,378.21,2,late,0,155.31,0.47,0.862,1,0
19,1235,33,mid,378.21,2,late,0,480.94,0.34,0.969,0,0
20,2333,182,budget,296.98,2,dinner,1,265.76,0.46,0.026,1,0
20,2333,4,budget,296.98,2,dinner,1,121.68,0.46,0.018,0,0
20,2333,143,budget,296.98,2,dinner,1,68.12,0.7,0.699,1,0
21,2977,16,premium,269.14,1,dinner,1,94.08,0.52,0.922,1,1
21,2977,213,premium,269.14,1,dinner,1,442.77,0.32,0.195,0,1
21,2977,86,premium,269.14,1,dinner,1,321.81,0.3,0.728,0,0
22,2461,64,budget,255.8,1,dinner,0,279.7,0.34,0.458,0,0
22,2461,290,budget,255.8,1,dinner,0,496.19,0.32,0.993,0,0
22,2461,121,budget,255.8,1,dinner,0,205.13,0.26,0.228,0,0
23,2502,148,budget,226.48,1,dinner,0,339.83,0.25,0.766,0,0
23,2502,265,budget,226.48,1,dinner,0,212.32,0.21,0.325,0,0
23,2502,98,budget,226.48,1,dinner,0,366.41,0.22,0.447,0,0
24,1727,183,mid,224.68,1,lunch,0,270.45,0.21,0.589,0,0
24,1727,125,mid,224.68,1,lunch,0,248.76,0.49,0.006,0,0
24,1727,286,mid,224.68,1,lunch,0,146.06,0.65,0.905,1,0
25,1082,222,budget,469.11,1,dinner,0,184.49,0.43,0.784,0,0
25,1082,216,budget,469.11,1,dinner,0,287.59,0.29,0.717,0,0
25,1082,32,budget,469.11,1,dinner,0,160.3,0.65,0.265,1,0
26,1228,269,budget,314.44,1,lunch,0,113.32,0.52,0.619,1,0
26,1228,163,budget,314.44,1,lunch,0,138.34,0.55,0.437,1,0
26,1228,174,budget,314.44,1,lunch,0,163.97,0.5,0.68,1,1
27,1415,158,premium,670.54,1,dinner,0,466.67,0.25,0.013,0,0
27,1415,13,premium,670.54,1,dinner,0,87.13,0.45,0.307,0,0
27,1415,252,premium,670.54,1,dinner,0,101.68,0.6,0.752,1,0
28,2614,14,budget,370.45,3,dinner,0,65.84,0.64,0.787,1,0
28,2614,271,budget,370.45,3,dinner,0,286.32,0.35,0.042,0,0
28,2614,157,budget,370.45,3,dinner,0,319.26,0.26,0.926,0,0
29,1662,141,mid,513.67,2,lunch,0,496.86,0.27,0.228,0,0
29,1662,96,mid,513.67,2,lunch,0,81.64,0.68,0.169,1,0
29,1662,105,mid,513.67,2,lunch,0,370.71,0.21,0.514,0,0
30,238,5,mid,588.39,3,lunch,0,385.36,0.32,0.334,0,0
30,238,61,mid,588.39,3,lunch,0,482.84,0.24,0.923,0,0
30,238,153,mid,588.39,3,lunch,0,171.24,0.58,0.319,1,0
31,512,58,budget,440.35,2,lunch,1,248.04,0.2,0.423,0,0
31,512,11,budget,440.35,2,lunch,1,462.7,0.22,0.792,0,0
31,512,75,budget,440.35,2,lunch,1,84.63,0.64,0.741,1,0
32,2556,211,budget,465.27,1,dinner,1,165.62,0.5,0.166,1,0
32,2556,17,budget,465.27,1,dinner,1,203.6,0.28,0.574,0,0
32,2556,85,budget,465.27,1,dinner,1,96.5,0.63,0.488,1,0
33,2469,62,budget,413.11,2,lunch,0,235.5,0.32,0.364,0,0
33,2469,163,budget,413.11,2,lunch,0,138.34,0.55,0.437,1,0
33,2469,111,budget,413.11,2,lunch,0,234.1,0.31,0.851,0,0
34,1579,157,premium,362.19,2,lunch,0,319.26,0.26,0.926,0,0
34,1579,212,premium,362.19,2,lunch,0,111.51,0.68,0.288,1,1
34,1579,258,premium,362.19,2,lunch,0,254.69,0.35,0.506,0,0
35,672,153,mid,381.53,2,lunch,0,171.24,0.58,0.319,1,0
35,672,143,mid,381.53,2,lunch,0,68.12,0.7,0.699,1,0
35,672,188,mid,381.53,2,lunch,0,272.66,0.48,0.13,1,0
36,2689,66,budget,513.12,1,late,1,395.59,0.34,0.833,0,0
36,2689,195,budget,513.12,1,late,1,156.51,0.45,0.495,1,0
36,2689,125,budget,513.12,1,late,1,248.76,0.49,0.006,0,0
37,128,12,budget,603.61,2,lunch,0,255.67,0.31,0.405,0,0
37,128,184,budget,603.61,2,lunch,0,223.54,0.46,0.379,0,0
37,128,154,budget,603.61,2,lunch,0,103.19,0.36,0.843,0,0
38,1797,42,mid,592.93,1,lunch,0,349.5,0.32,0.816,0,0
38,1797,151,mid,592.93,1,lunch,0,268.31,0.29,0.012,0,0
38,1797,277,mid,592.93,1,lunch,0,295.86,0.22,0.81,0,0
39,1025,242,budget,309.29,1,lunch,0,337.56,0.23,0.811,0,0
39,1025,271,budget,309.29,1,lunch,0,286.32,0.35,0.042,0,0
39,1025,165,budget,309.29,1,lunch,0,126.7,0.5,0.103,1,1
40,906,83,premium,370.38,1,dinner,0,200.82,0.47,0.635,0,0
40,906,61,premium,370.38,1,dinner,0,482.84,0.24,0.923,0,0
40,906,181,premium,370.38,1,dinner,0,124.84,0.64,0.358,1,0
41,555,175,budget,732.23,2,dinner,1,152.23,0.58,0.909,1,0
41,555,191,budget,732.23,2,dinner,1,324.74,0.24,0.049,0,0
41,555,245,budget,732.23,2,dinner,1,63.28,0.64,0.96,1,1
42,2894,213,premium,557.28,2,lunch,0,442.77,0.32,0.195,0,0
42,2894,70,premium,557.28,2,lunch,0,277.03,0.45,0.133,1,0
42,2894,235,premium,557.28,2,lunch,0,451.07,0.3,0.267,0,0
43,687,206,budget,430.84,2,dinner,0,92.4,0.57,0.872,1,1
43,687,104,budget,430.84,2,dinner,0,448.16,0.3,0.894,0,0
43,687,208,budget,430.84,2,dinner,0,161.11,0.66,0.731,1,1
44,626,256,mid,498.32,1,dinner,0,234.58,0.24,0.995,0,0
44,626,5,mid,498.32,1,dinner,0,385.36,0.32,0.334,0,0
44,626,55,mid,498.32,1,dinner,0,222.11,0.34,0.494,0,0
45,2802,103,budget,558.4,3,late,1,151.85,0.65,0.903,1,0
45,2802,270,budget,558.4,3,late,1,171.38,0.55,0.424,1,1
45,2802,30,budget,558.4,3,late,1,177.34,0.6,0.552,1,0
46,595,41,mid,246.18,1,lunch,0,155.36,0.42,0.363,0,0
46,595,77,mid,246.18,1,lunch,0,262.8,0.52,0.668,1,1
46,595,11,mid,246.18,1,lunch,0,462.7,0.22,0.792,0,0
47,1786,175,budget,437.27,1,lunch,1,152.23,0.58,0.909,1,1
47,1786,262,budget,437.27,1,lunch,1,285.65,0.25,0.494,0,0
47,1786,292,budget,437.27,1,lunch,1,238.75,0.5,0.163,1,0
48,967,67,budget,368.9,2,dinner,0,163.4,0.43,0.952,1,0
48,967,135,budget,368.9,2,dinner,0,191.27,0.54,0.917,1,0
48,967,203,budget,368.9,2,dinner,0,238.86,0.33,0.747,0,0
49,1166,83,budget,413.75,2,lunch,0,200.82,0.47,0.635,0,0
49,1166,144,budget,413.75,2,lunch,0,283.69,0.24,0.739,0,0
49,1166,91,budget,413.75,2,lunch,0,166.84,0.59,0.744,1,0
50,2588,212,mid,425.86,2,dinner,1,111.51,0.68,0.288,1,0
50,2588,40,mid,425.86,2,dinner,1,229.41,0.22,0.062,0,0
50,2588,233,mid,425.86,2,dinner,1,104.86,0.48,0.426,0,1
51,1570,61,budget,590.36,2,dinner,0,482.84,0.24,0.923,0,0
51,1570,198,budget,590.36,2,dinner,0,113.3,0.38,0.576,0,0
51,1570,115,budget,590.36,2,dinner,0,374.58,0.32,0.169,0,0
52,980,85,premium,323.62,2,lunch,0,96.5,0.63,0.488,1,0
52,980,6,premium,323.62,2,lunch,0,188.91,0.41,0.299,0,0
52,980,244,premium,323.62,2,lunch,0,348.19,0.24,0.569,0,0
53,2523,36,mid,489.72,3,lunch,0,135.55,0.63,0.211,1,0
53,2523,137,mid,489.72,3,lunch,0,184.6,0.41,0.394,0,0
53,2523,43,mid,489.72,3,lunch,0,190.82,0.42,0.508,1,1
54,2122,224,premium,289.48,1,dinner,0,210.22,0.5,0.073,1,0
54,2122,1,premium,289.48,1,dinner,0,135.33,0.36,0.833,0,0
54,2122,49,premium,289.48,1,dinner,0,155.31,0.47,0.862,1,1
55,1114,112,budget,447.62,1,dinner,0,206.29,0.42,0.43,0,0
55,1114,180,budget,447.62,1,dinner,0,202.15,0.23,0.33,0,0
55,1114,75,budget,447.62,1,dinner,0,84.63,0.64,0.741,1,0
56,2827,235,mid,353.31,3,lunch,0,451.07,0.3,0.267,0,0
56,2827,297,mid,353.31,3,lunch,0,169.36,0.44,0.758,0,1
56,2827,15,mid,353.31,3,lunch,0,146.66,0.48,0.807,0,0
57,916,84,premium,397.52,2,lunch,1,110.81,0.49,0.104,0,0
57,916,235,premium,397.52,2,lunch,1,451.07,0.3,0.267,0,0
57,916,47,premium,397.52,2,lunch,1,155.78,0.66,0.365,1,0
58,51,126,premium,353.57,1,dinner,1,363.59,0.26,0.525,0,0
58,51,181,premium,353.57,1,dinner,1,124.84,0.64,0.358,1,1
58,51,218,premium,353.57,1,dinner,1,172.28,0.58,0.403,1,0
59,1510,253,budget,372.02,1,late,0,338.77,0.29,0.339,0,0
59,1510,103,budget,372.02,1,late,0,151.85,0.65,0.903,1,1
59,1510,109,budget,372.02,1,late,0,200.81,0.5,0.712,0,0
60,67,16,budget,490.74,1,dinner,1,94.08,0.52,0.922,1,1
60,67,198,budget,490.74,1,dinner,1,113.3,0.38,0.576,0,0
60,67,227,budget,490.74,1,dinner,1,120.06,0.53,0.02,1,0
61,768,166,premium,270.04,1,late,1,320.13,0.22,0.35,0,0
61,768,55,premium,270.04,1,late,1,222.11,0.34,0.494,0,0
61,768,35,premium,270.04,1,late,1,214.26,0.48,0.309,1,1
62,1939,125,premium,310.17,3,dinner,0,248.76,0.49,0.006,0,0
62,1939,151,premium,310.17,3,dinner,0,268.31,0.29,0.012,0,0
62,1939,226,premium,310.17,3,dinner,0,172.56,0.55,0.035,1,0
63,1625,257,budget,418.56,3,dinner,1,225.36,0.35,0.588,0,0
63,1625,55,budget,418.56,3,dinner,1,222.11,0.34,0.494,0,0
63,1625,62,budget,418.56,3,dinner,1,235.5,0.32,0.364,0,0
64,1387,210,budget,395.7,3,lunch,0,111.4,0.59,0.978,1,0
64,1387,179,budget,395.7,3,lunch,0,163.1,0.36,0.387,0,0
64,1387,35,budget,395.7,3,lunch,0,214.26,0.48,0.309,1,0
65,2587,207,mid,339.85,2,lunch,0,336.56,0.27,0.428,0,0
65,2587,44,mid,339.85,2,lunch,0,264.68,0.47,0.519,1,1
65,2587,122,mid,339.85,2,lunch,0,438.67,0.31,0.134,0,0
66,2054,222,mid,303.3,2,dinner,1,184.49,0.43,0.784,0,0
66,2054,114,mid,303.3,2,dinner,1,142.63,0.47,0.751,1,1
66,2054,237,mid,303.3,2,dinner,1,397.07,0.31,0.454,0,1
67,2907,286,mid,479.03,2,lunch,0,146.06,0.65,0.905,1,1
67,2907,198,mid,479.03,2,lunch,0,113.3,0.38,0.576,0,0
67,2907,156,mid,479.03,2,lunch,0,387.32,0.3,0.488,0,0
68,2305,280,budget,472.43,3,dinner,1,346.27,0.26,0.719,0,0
68,2305,281,budget,472.43,3,dinner,1,145.81,0.36,0.403,0,0
68,2305,76,budget,472.43,3,dinner,1,360.02,0.28,0.546,0,0
69,2734,225,budget,429.61,1,dinner,0,153.52,0.41,0.044,0,0
69,2734,277,budget,429.61,1,dinner,0,295.86,0.22,0.81,0,0
69,2734,109,budget,429.61,1,dinner,0,200.81,0.5,0.712,0,0
70,1178,294,premium,324.1,3,late,0,268.04,0.55,0.387,1,1
70,1178,117,premium,324.1,3,late,0,127.15,0.53,0.281,1,0
70,1178,104,premium,324.1,3,late,0,448.16,0.3,0.894,0,1
71,345,220,budget,590.8,2,dinner,0,163.73,0.5,0.201,1,0
71,345,10,budget,590.8,2,dinner,0,84.31,0.68,0.858,1,1
71,345,46,budget,590.8,2,dinner,0,221.59,0.53,0.666,1,0
72,115,258,premium,508.59,1,lunch,0,254.69,0.35,0.506,0,0
72,115,85,premium,508.59,1,lunch,0,96.5,0.63,0.488,1,0
72,115,81,premium,508.59,1,lunch,0,90.8,0.63,0.958,1,0
73,48,193,premium,641.51,2,lunch,0,208.4,0.45,0.102,1,1
73,48,189,premium,641.51,2,lunch,0,297.19,0.53,0.93,1,0
73,48,121,premium,641.51,2,lunch,0,205.13,0.26,0.228,0,0
74,341,79,budget,587.31,2,dinner,1,138.11,0.54,0.051,1,0
74,341,258,budget,587.31,2,dinner,1,254.69,0.35,0.506,0,0
74,341,58,budget,587.31,2,dinner,1,248.04,0.2,0.423,0,0
75,2031,128,budget,269.26,2,dinner,1,437.9,0.35,0.892,0,0
75,2031,159,budget,269.26,2,dinner,1,282.45,0.52,0.717,1,0
75,2031,145,budget,269.26,2,dinner,1,375.83,0.32,0.746,0,0
76,2486,19,mid,375.73,1,dinner,1,129.47,0.48,0.307,1,1
76,2486,143,mid,375.73,1,dinner,1,68.12,0.7,0.699,1,1
76,2486,233,mid,375.73,1,dinner,1,104.86,0.48,0.426,0,0
77,332,285,budget,541.59,1,late,0,446.82,0.34,0.107,0,0
77,332,134,budget,541.59,1,late,0,78.66,0.51,0.738,1,0
77,332,209,budget,541.59,1,late,0,146.19,0.57,0.625,1,0
78,996,67,budget,297.66,2,dinner,0,163.4,0.43,0.952,1,0
78,996,229,budget,297.66,2,dinner,0,216.79,0.53,0.271,1,1
78,996,231,budget,297.66,2,dinner,0,205.49,0.49,0.571,1,0
79,2186,192,budget,590.48,1,lunch,1,186.85,0.54,0.705,1,0
79,2186,292,budget,590.48,1,lunch,1,238.75,0.5,0.163,1,0
79,2186,223,budget,590.48,1,lunch,1,285.58,0.28,0.852,0,0
80,1485,263,budget,419.24,1,dinner,0,172.06,0.51,0.5,1,0
80,1485,208,budget,419.24,1,dinner,0,161.11,0.66,0.731,1,0
80,1485,223,budget,419.24,1,dinner,0,285.58,0.28,0.852,0,0
81,1290,292,mid,493.5,2,late,1,238.75,0.5,0.163,1,0
81,1290,139,mid,493.5,2,late,1,190.2,0.41,0.894,0,0
81,1290,116,mid,493.5,2,late,1,414.3,0.25,0.29,0,0
82,2998,178,budget,647.59,2,dinner,0,224.74,0.31,0.547,0,0
82,2998,156,budget,647.59,2,dinner,0,387.32,0.3,0.488,0,0
82,2998,192,budget,647.59,2,dinner,0,186.85,0.54,0.705,1,0
83,2786,169,mid,465.68,2,late,0,177.49,0.62,0.725,1,1
83,2786,289,mid,465.68,2,late,0,136.97,0.41,0.99,0,0
83,2786,64,mid,465.68,2,late,0,279.7,0.34,0.458,0,0
84,2875,217,budget,339.08,3,lunch,0,158.11,0.61,0.032,1,0
84,2875,48,budget,339.08,3,lunch,0,180.93,0.36,0.715,0,0
84,2875,176,budget,339.08,3,lunch,0,234.93,0.53,0.63,1,0
85,2791,254,budget,617.2,1,lunch,0,416.58,0.32,0.15,0,0
85,2791,25,budget,617.2,1,lunch,0,301.22,0.3,0.925,0,0
85,2791,270,budget,617.2,1,lunch,0,171.38,0.55,0.424,1,0
86,16,50,budget,492.18,1,dinner,1,163.49,0.54,0.391,1,0
86,16,64,budget,492.18,1,dinner,1,279.7,0.34,0.458,0,0
86,16,175,budget,492.18,1,dinner,1,152.23,0.58,0.909,1,0
87,2179,182,budget,519.25,1,dinner,0,265.76,0.46,0.026,1,1
87,2179,295,budget,519.25,1,dinner,0,245.01,0.28,0.158,0,0
87,2179,174,budget,519.25,1,dinner,0,163.97,0.5,0.68,1,0
88,236,120,budget,462.04,1,dinner,1,435.5,0.33,0.563,0,0
88,236,250,budget,462.04,1,dinner,1,428.19,0.23,0.17,0,0
88,236,161,budget,462.04,1,dinner,1,476.08,0.26,0.365,0,0
89,2438,254,mid,713.89,3,dinner,1,416.58,0.32,0.15,0,0
89,2438,32,mid,713.89,3,dinner,1,160.3,0.65,0.265,1,1
89,2438,167,mid,713.89,3,dinner,1,158.86,0.51,0.935,1,1
90,2090,99,mid,429.89,2,dinner,0,87.12,0.63,0.457,1,1
90,2090,39,mid,429.89,2,dinner,0,211.37,0.29,0.131,0,0
90,2090,173,mid,429.89,2,dinner,0,369.86,0.24,0.989,0,0
91,2819,80,premium,391.41,2,late,0,275.25,0.43,0.921,1,0
91,2819,282,premium,391.41,2,late,0,221.95,0.38,0.159,0,1
91,2819,140,premium,391.41,2,late,0,244.51,0.41,0.963,1,1
92,1608,255,premium,615.73,2,lunch,1,139.46,0.53,0.904,1,1
92,1608,235,premium,615.73,2,lunch,1,451.07,0.3,0.267,0,0
92,1608,137,premium,615.73,2,lunch,1,184.6,0.41,0.394,0,0
93,2178,282,mid,510.36,2,dinner,0,221.95,0.38,0.159,0,0
93,2178,197,mid,510.36,2,dinner,0,421.45,0.31,0.072,0,0
93,2178,57,mid,510.36,2,dinner,0,117.81,0.68,0.188,1,0
94,2837,21,budget,456.28,1,lunch,0,228.71,0.25,0.251,0,0
94,2837,136,budget,456.28,1,lunch,0,322.13,0.3,0.356,0,0
94,2837,122,budget,456.28,1,lunch,0,438.67,0.31,0.134,0,0
95,263,287,premium,545.27,2,dinner,0,341.68,0.2,0.975,0,0
95,263,233,premium,545.27,2,dinner,0,104.86,0.48,0.426,0,0
95,263,160,premium,545.27,2,dinner,0,389.57,0.28,0.319,0,0
96,931,240,budget,265.02,2,dinner,1,96.82,0.45,0.253,0,0
96,931,241,budget,265.02,2,dinner,1,297.45,0.32,0.341,0,0
96,931,7,budget,265.02,2,dinner,1,143.09,0.45,0.476,0,0
97,897,297,budget,301.52,3,dinner,0,169.36,0.44,0.758,0,0
97,897,148,budget,301.52,3,dinner,0,339.83,0.25,0.766,0,0
97,897,200,budget,301.52,3,dinner,0,115.09,0.43,0.111,0,0
98,813,108,mid,247.66,1,dinner,0,239.2,0.46,0.317,1,1
98,813,167,mid,247.66,1,dinner,0,158.86,0.51,0.935,1,1
98,813,223,mid,247.66,1,dinner,0,285.58,0.28,0.852,0,0
99,729,289,mid,567.94,1,lunch,1,136.97,0.41,0.99,0,0
99,729,99,mid,567.94,1,lunch,1,87.12,0.63,0.457,1,1
99,729,51,mid,567.94,1,lunch,1,407.06,0.31,0.043,0,0
100,2852,291,budget,355.64,2,dinner,0,198.38,0.37,0.441,0,0
100,2852,75,budget,355.64,2,dinner,0,84.63,0.64,0.741,1,0
100,2852,61,budget,355.64,2,dinner,0,482.84,0.24,0.923,0,0
101,703,288,budget,596.17,3,dinner,1,224.33,0.32,0.325,0,0
101,703,245,budget,596.17,3,dinner,1,63.28,0.64,0.96,1,0
101,703,205,budget,596.17,3,dinner,1,405.76,0.3,0.553,0,0
102,1251,214,budget,442.94,1,dinner,0,211.2,0.32,0.837,0,0
102,1251,281,budget,442.94,1,dinner,0,145.81,0.36,0.403,0,0
102,1251,39,budget,442.94,1,dinner,0,211.37,0.29,0.131,0,0
103,1648,86,budget,336.12,1,dinner,0,321.81,0.3,0.728,0,0
103,1648,149,budget,336.12,1,dinner,0,222.98,0.31,0.394,0,0
103,1648,271,budget,336.12,1,dinner,0,286.32,0.35,0.042,0,0
104,1080,4,mid,490.15,2,dinner,0,121.68,0.46,0.018,0,0
104,1080,256,mid,490.15,2,dinner,0,234.58,0.24,0.995,0,0
104,1080,55,mid,490.15,2,dinner,0,222.11,0.34,0.494,0,0
105,240,2,budget,360.98,2,lunch,0,235.95,0.33,0.779,0,0
105,240,196,budget,360.98,2,lunch,0,280.16,0.23,0.515,0,0
105,240,161,budget,360.98,2,lunch,0,476.08,0.26,0.365,0,0
106,1914,208,budget,598.29,1,lunch,0,161.11,0.66,0.731,1,0
106,1914,52,budget,598.29,1,lunch,0,257.4,0.4,0.527,1,0
106,1914,112,budget,598.29,1,lunch,0,206.29,0.42,0.43,0,0
107,757,115,mid,442.58,1,lunch,0,374.58,0.32,0.169,0,0
107,757,268,mid,442.58,1,lunch,0,154.76,0.52,0.836,1,1
107,757,128,mid,442.58,1,lunch,0,437.9,0.35,0.892,0,0
108,2469,86,budget,307.64,3,dinner,0,321.81,0.3,0.728,0,0
108,2469,20,budget,307.64,3,dinner,0,171.92,0.68,0.19,1,0
108,2469,251,budget,307.64,3,dinner,0,156.9,0.37,0.803,0,0
109,2547,224,budget,429.42,1,dinner,1,210.22,0.5,0.073,1,0
109,2547,132,budget,429.42,1,dinner,1,141.65,0.49,0.566,0,0
109,2547,124,budget,429.42,1,dinner,1,229.28,0.24,0.407,0,0
110,52,143,premium,596.87,2,dinner,1,68.12,0.7,0.699,1,0
110,52,217,premium,596.87,2,dinner,1,158.11,0.61,0.032,1,0
110,52,213,premium,596.87,2,dinner,1,442.77,0.32,0.195,0,0
111,569,227,mid,501.78,2,dinner,0,120.06,0.53,0.02,1,1
111,569,235,mid,501.78,2,dinner,0,451.07,0.3,0.267,0,0
111,569,56,mid,501.78,2,dinner,0,483.99,0.34,0.684,0,0
112,2879,14,budget,599.54,1,late,0,65.84,0.64,0.787,1,0
112,2879,36,budget,599.54,1,late,0,135.55,0.63,0.211,1,0
112,2879,26,budget,599.54,1,late,0,330.12,0.27,0.551,0,0
113,2576,264,mid,449.14,1,dinner,0,205.59,0.46,0.428,0,0
113,2576,24,mid,449.14,1,dinner,0,131.16,0.53,0.869,1,1
113,2576,204,mid,449.14,1,dinner,0,489.98,0.29,0.801,0,0
114,941,244,budget,630.51,2,dinner,0,348.19,0.24,0.569,0,0
114,941,280,budget,630.51,2,dinner,0,346.27,0.26,0.719,0,0
114,941,288,budget,630.51,2,dinner,0,224.33,0.32,0.325,0,0
115,69,255,budget,456.61,1,dinner,0,139.46,0.53,0.904,1,0
115,69,38,budget,456.61,1,dinner,0,442.78,0.34,0.141,0,0
115,69,262,budget,456.61,1,dinner,0,285.65,0.25,0.494,0,0
116,2021,201,mid,478.51,1,dinner,0,336.73,0.21,0.013,0,0
116,2021,219,mid,478.51,1,dinner,0,284.0,0.52,0.305,1,0
116,2021,264,mid,478.51,1,dinner,0,205.59,0.46,0.428,0,0
117,163,283,mid,298.05,1,lunch,0,163.24,0.54,0.745,1,0
117,163,5,mid,298.05,1,lunch,0,385.36,0.32,0.334,0,0
117,163,150,mid,298.05,1,lunch,0,242.57,0.35,0.022,0,0
118,14,112,budget,407.79,1,dinner,0,206.29,0.42,0.43,0,0
118,14,66,budget,407.79,1,dinner,0,395.59,0.34,0.833,0,0
118,14,181,budget,407.79,1,dinner,0,124.84,0.64,0.358,1,0
119,945,0,mid,414.35,3,lunch,0,231.17,0.4,0.369,0,0
119,945,91,mid,414.35,3,lunch,0,166.84,0.59,0.744,1,0
119,945,228,mid,414.35,3,lunch,0,252.88,0.46,0.071,1,1
120,469,210,mid,452.48,2,dinner,0,111.4,0.59,0.978,1,0
120,469,252,mid,452.48,2,dinner,0,101.68,0.6,0.752,1,0
120,469,188,mid,452.48,2,dinner,0,272.66,0.48,0.13,1,1
121,867,266,mid,498.59,2,dinner,0,387.74,0.27,0.143,0,0
121,867,239,mid,498.59,2,dinner,0,97.35,0.38,0.562,0,0
121,867,235,mid,498.59,2,dinner,0,451.07,0.3,0.267,0,0
122,58,3,mid,522.99,1,dinner,1,294.58,0.28,0.246,0,0
122,58,254,mid,522.99,1,dinner,1,416.58,0.32,0.15,0,0
122,58,178,mid,522.99,1,dinner,1,224.74,0.31,0.547,0,0
123,2926,209,mid,338.98,1,dinner,0,146.19,0.57,0.625,1,0
