order_id,user_id,cart_value,cart_size,hour_bucket,weekend_flag
219,2978,539.19,3,dinner,1
220,2739,717.56,3,late,1
221,2332,510.9,3,dinner,0
222,1933,425.48,2,dinner,0
223,758,406.47,3,lunch,0
224,717,506.63,1,late,0
225,2682,456.61,1,late,0
226,2656,439.0,2,dinner,0
227,2237,460.67,2,dinner,1
228,1570,333.77,2,late,0
229,1290,319.57,1,dinner,0
230,2778,321.44,1,lunch,0
231,1511,611.41,2,dinner,0
232,2102,318.91,2,lunch,1
233,1592,363.58,2,lunch,0
234,804,463.17,2,dinner,0
235,1555,471.5,1,lunch,0
236,2583,369.82,3,dinner,0
237,2645,434.77,2,dinner,0
238,2825,534.55,2,dinner,0
239,2127,708.9,2,late,1
240,2077,662.36,1,dinner,0
241,189,329.24,1,lunch,0
242,417,448.98,1,late,0
243,2378,512.55,1,lunch,0
244,734,308.7,2,dinner,1
245,2195,519.58,3,late,0
246,294,528.34,3,lunch,0
247,1781,393.55,1,dinner,0
248,2789,266.08,1,lunch,1
249,234,686.69,2,lunch,1
250,2540,290.43,2,lunch,0
251,150,488.57,2,late,0
252,302,401.01,1,dinner,0
253,1734,516.62,1,dinner,1
254,2378,455.02,2,dinner,0
255,1142,257.79,3,dinner,0
256,2364,467.77,1,lunch,0
257,2252,444.93,2,lunch,1
258,574,579.03,2,lunch,1
259,409,477.35,3,dinner,0
260,2283,450.78,1,dinner,1
261,2562,507.02,1,dinner,0
262,1661,562.39,1,dinner,0
263,592,416.56,1,dinner,0
264,2535,353.11,1,dinner,0
265,1470,438.82,2,dinner,0
266,359,444.72,2,dinner,1
267,1815,291.48,2,dinner,1
268,206,453.19,1,lunch,0
269,1929,313.66,1,lunch,0
270,1788,316.52,2,dinner,1
271,1434,392.33,1,lunch,0
272,2192,602.49,2,dinner,0
273,1980,400.76,2,dinner,0
274,1853,520.34,3,lunch,0
275,1055,716.74,1,dinner,1
276,1036,566.11,2,dinner,1
277,276,409.12,1,dinner,0
278,2588,410.46,1,lunch,0
279,1239,463.25,2,dinner,0
280,2639,235.48,2,dinner,0
281,219,424.55,3,late,0
282,1301,289.36,3,dinner,0
283,408,522.29,1,late,1
284,2120,270.09,1,lunch,0
285,1953,494.68,2,dinner,1
286,2210,414.13,2,dinner,1
287,1768,415.0,2,dinner,1
288,987,405.18,1,dinner,0
289,358,407.09,1,late,0
290,2008,527.75,2,dinner,1
291,287,547.8,3,lunch,1
292,637,368.06,1,late,0
293,1132,400.68,1,late,1
294,2871,576.9,1,dinner,1
295,2441,397.25,1,lunch,0
296,1620,448.3,1,lunch,0
297,1895,364.89,3,dinner,1
298,2400,485.87,2,dinner,0
299,193,341.82,2,lunch,1
300,1615,600.28,1,dinner,0
301,2523,416.8,2,late,1
302,829,419.11,2,dinner,1
303,1625,289.18,1,late,0
304,909,273.4,2,late,0
305,2235,301.23,3,lunch,0
306,35,424.56,1,dinner,0
307,2553,531.96,1,dinner,0
308,359,303.63,3,late,0
309,2253,446.38,2,dinner,0
310,793,552.23,1,lunch,0
311,1903,449.85,3,dinner,0
312,165,388.49,2,dinner,0
313,2708,378.51,2,dinner,0
314,266,605.75,2,lunch,1
315,785,646.52,1,dinner,0
316,2743,528.14,1,lunch,0
317,2331,468.97,2,lunch,0
318,2853,264.31,1,lunch,0
319,2187,563.58,2,dinner,1
320,900,381.75,1,dinner,1
321,1578,347.66,3,dinner,0
322,83,366.38,3,dinner,0
323,1503,519.11,2,dinner,0
324,1068,465.32,3,late,1
325,2164,525.26,1,late,0
326,1278,501.23,1,lunch,0
327,557,475.47,1,late,1
328,62,344.27,3,dinner,1
329,1444,577.26,2,lunch,0
330,1483,393.87,2,lunch,0
331,2889,267.65,1,dinner,0
332,495,637.32,1,dinner,0
333,1791,298.64,1,lunch,1
334,473,537.28,3,dinner,1
335,1442,549.87,1,dinner,0
336,2848,572.67,1,lunch,0
337,172,513.6,1,lunch,0
338,929,410.03,1,lunch,0
339,1737,450.96,2,lunch,0
340,1628,291.64,1,lunch,0
341,389,679.17,1,dinner,1
342,1871,484.33,1,dinner,0
343,2413,541.09,1,dinner,0
344,2213,438.45,1,dinner,1
345,2976,519.52,2,late,0
346,1714,475.08,2,dinner,0
347,1746,422.98,1,dinner,0
348,1897,521.57,3,dinner,0
349,2056,279.61,1,dinner,1
350,977,350.73,2,dinner,0
351,1039,455.06,1,late,0
352,1807,234.26,1,late,0
353,2119,480.56,3,lunch,0
354,1999,366.5,2,dinner,0
355,183,422.92,1,dinner,1
356,2768,244.75,2,dinner,0
357,80,553.84,1,dinner,1
358,1768,371.4,1,lunch,0
359,2651,419.09,1,late,0
360,586,521.48,2,dinner,0
361,2076,360.14,2,dinner,0
362,781,456.17,3,lunch,0
363,1529,462.14,2,lunch,0
364,1600,563.68,3,dinner,0
365,184,310.71,3,late,0
366,2615,501.45,1,dinner,1
367,1236,409.84,1,lunch,1
368,961,298.18,2,dinner,0
369,2915,373.05,2,dinner,0
370,107,386.51,2,dinner,0
371,1387,514.0,1,dinner,0
372,585,360.0,1,dinner,0
373,1840,352.21,3,late,0
374,844,368.53,3,late,0
375,1496,352.33,1,dinner,0
376,2139,431.83,2,lunch,1
377,233,302.53,2,late,0
378,434,567.44,2,dinner,0
379,93,525.06,1,lunch,1
380,1411,337.97,1,lunch,0
381,390,542.02,3,late,0
382,2918,368.05,3,dinner,1
383,1680,402.54,3,dinner,0
384,1588,511.5,2,dinner,0
385,126,583.97,2,dinner,0
386,818,485.34,1,lunch,0
387,1569,518.98,3,dinner,0
388,3,513.61,1,lunch,1
389,1497,360.96,1,dinner,1
390,1556,437.54,2,late,0
391,1175,409.67,2,dinner,0
392,2993,547.17,2,lunch,0
393,1412,576.94,3,late,1
394,216,240.24,3,lunch,0
395,994,324.86,1,dinner,0
396,2792,526.8,2,lunch,0
397,149,349.83,1,lunch,0
398,1752,318.93,2,dinner,0
399,1439,394.69,2,late,0
400,1931,568.18,1,dinner,1
401,2104,491.86,2,dinner,0
402,2623,406.64,3,lunch,0
403,1779,352.04,2,dinner,0
404,675,414.77,2,late,0
405,2732,405.16,3,dinner,1
406,1210,515.56,1,dinner,0
407,673,358.3,1,late,0
408,1815,317.88,1,dinner,0
409,2878,301.32,1,late,0
410,2389,413.21,3,late,0
411,506,448.69,2,late,0
412,342,673.12,2,dinner,0
413,1417,384.91,1,dinner,0
414,2278,419.73,2,dinner,0
415,1320,303.85,2,dinner,0
416,243,441.62,2,dinner,1
417,871,495.69,2,lunch,1
418,1452,349.74,1,dinner,0
419,461,371.95,3,dinner,0
420,1385,411.26,2,lunch,0
421,721,535.63,1,dinner,0
422,2293,530.39,2,dinner,1
423,2606,529.24,1,dinner,0
424,1402,604.51,2,lunch,0
425,524,463.39,2,lunch,0
426,497,483.5,3,late,1
427,1616,449.4,1,lunch,1
428,1319,535.49,2,dinner,0
429,915,285.93,1,lunch,0
430,2429,444.49,1,late,0
431,2189,252.6,1,dinner,0
432,1328,453.25,3,dinner,0
433,2450,285.63,3,dinner,0
434,2497,482.77,1,lunch,0
435,1682,240.14,3,dinner,0
436,30,554.73,2,dinner,0
437,600,588.3,2,lunch,1
438,1914,357.64,2,late,0
439,860,547.99,2,dinner,0
440,2606,359.3,1,dinner,1
441,232,472.7,2,dinner,1
442,1754,636.3,3,dinner,0
443,833,626.92,2,late,0
444,1857,546.98,3,dinner,1
445,1970,397.09,1,dinner,0
446,2156,288.59,2,dinner,0
447,2004,408.27,1,lunch,0
448,19,512.48,3,late,0
449,380,359.35,1,lunch,0
450,126,416.97,2,dinner,1
451,268,574.15,1,lunch,0
452,2041,384.63,2,dinner,1
453,1440,493.35,1,late,1
454,1937,441.2,2,dinner,0
455,45,450.06,2,dinner,0
456,1108,554.43,3,dinner,0
457,2190,367.79,1,lunch,1
458,892,550.36,3,lunch,0
459,1235,545.45,2,late,0
460,1194,567.18,2,dinner,1
461,1776,589.54,1,dinner,0
462,196,349.7,1,dinner,0
463,2985,558.36,1,lunch,1
464,59,457.52,2,dinner,0
465,2640,415.06,2,late,1
466,2658,283.67,1,dinner,1
467,2533,467.14,2,dinner,1
468,882,432.54,2,late,0
469,2203,321.64,2,lunch,0
470,2911,474.75,2,lunch,0
471,951,402.95,1,dinner,0
472,978,465.35,1,dinner,1
473,622,534.38,1,lunch,0
474,378,595.28,2,dinner,0
475,1066,431.24,1,late,1
476,1662,492.53,2,lunch,1
477,209,378.84,1,dinner,0
478,105,432.94,2,late,0
479,2920,274.97,2,late,1
480,550,209.81,2,lunch,0
481,2879,418.28,2,dinner,0
482,1106,268.84,1,lunch,0
483,1481,372.19,1,lunch,0
484,1919,413.57,2,dinner,0
485,2219,717.58,2,lunch,1
486,1120,456.8,3,dinner,0
487,546,284.73,2,dinner,1
488,2152,260.46,1,dinner,0
489,280,438.56,1,dinner,1
490,1039,585.09,1,late,1
491,459,425.9,2,late,1
492,629,520.28,3,dinner,0
493,2057,517.95,1,dinner,0
494,2182,445.48,1,dinner,0
495,585,482.49,2,late,0
496,690,483.37,3,lunch,1
497,640,582.09,1,dinner,0
498,656,419.41,1,dinner,1
499,778,370.33,2,lunch,0
500,2597,374.8,1,dinner,0
501,1500,444.86,2,dinner,0
502,2214,425.8,1,lunch,1
503,439,500.42,1,late,0
504,1916,449.03,1,dinner,0
505,2144,420.98,1,dinner,0
506,325,670.31,2,late,0
507,17,637.1,1,dinner,0
508,2320,332.2,1,late,0
509,21,590.27,1,dinner,0
510,857,420.93,1,dinner,0
511,2438,562.51,3,dinner,0
512,2617,408.28,1,lunch,1
513,598,524.78,1,lunch,0
514,2960,333.88,3,late,0
515,1239,305.73,1,lunch,0
516,1433,552.98,1,late,0
517,1265,521.38,1,lunch,0
518,2798,371.76,2,dinner,0
519,1402,503.56,1,dinner,1
520,585,375.0,1,dinner,1
521,2324,474.33,1,lunch,1
522,1384,347.33,2,lunch,0
523,1327,532.27,1,dinner,0
524,625,471.04,2,dinner,1
525,1780,424.18,2,lunch,0
526,567,529.04,2,late,1
527,1090,335.81,3,dinner,1
528,263,374.42,2,lunch,0
529,1996,571.59,3,dinner,0
530,1530,530.81,2,dinner,0
531,1535,490.19,2,late,0
532,305,393.13,1,dinner,0
533,2315,481.51,1,dinner,0
534,1032,386.15,2,lunch,1
535,2437,561.41,1,lunch,1
536,1629,603.34,1,lunch,0
537,1610,470.23,2,lunch,0
538,749,474.63,3,lunch,0
539,1240,456.71,3,lunch,0
540,660,555.78,2,lunch,0
541,93,273.12,1,lunch,0
542,662,527.1,2,lunch,0
543,2717,267.99,2,dinner,1
544,2462,421.8,2,dinner,0
545,1775,439.51,1,lunch,1
546,529,490.24,3,dinner,0
547,1523,619.46,1,dinner,1
548,517,358.13,1,lunch,0
549,2253,353.45,2,late,0
550,2139,591.41,2,dinner,1
551,2504,436.93,1,dinner,1
552,1606,472.72,2,dinner,0
553,1110,276.79,3,lunch,0
554,1680,611.03,1,late,0
555,359,354.28,2,lunch,1
556,579,361.33,1,dinner,1
557,724,453.04,2,dinner,0
558,1222,504.21,2,dinner,1
559,1165,415.7,1,late,0
560,121,398.56,2,lunch,0
561,1094,508.33,1,dinner,1
562,974,377.08,1,lunch,0
563,1142,333.35,2,late,0
564,2138,289.91,3,lunch,0
565,1322,347.01,2,dinner,0
566,1375,254.68,3,dinner,0
567,409,490.84,1,dinner,0
568,424,517.87,2,lunch,0
569,749,355.46,3,dinner,1
570,455,342.23,1,late,1
571,677,307.05,1,dinner,0
572,1783,555.76,1,dinner,0
573,2758,346.8,1,dinner,1
574,1156,453.58,2,lunch,1
575,2529,452.16,3,late,0
576,1240,367.13,2,lunch,0
577,1655,386.08,2,dinner,0
578,1284,642.59,2,lunch,1
579,1734,532.94,2,late,1
580,2021,322.47,1,dinner,0
581,1640,591.55,1,dinner,1
582,2056,442.05,2,lunch,1
583,587,612.99,3,lunch,0
584,230,308.99,1,dinner,1
585,916,467.39,1,dinner,0
586,1218,446.21,1,dinner,0
587,2463,474.09,1,dinner,0
588,1113,407.94,3,dinner,0
589,1957,393.27,2,lunch,0
590,2359,399.98,2,late,0
591,436,565.24,2,dinner,0
592,819,485.2,2,late,0
593,2631,513.29,2,lunch,0
594,1260,714.61,3,lunch,1
595,2158,317.85,3,lunch,0
596,2558,598.25,1,lunch,1
597,231,416.45,1,dinner,0
598,91,496.17,2,dinner,0
599,528,409.12,2,dinner,0
600,1977,610.45,1,dinner,0
601,801,574.05,2,dinner,1
602,2920,442.81,1,dinner,1
603,1840,672.94,2,late,0
604,793,330.2,1,lunch,0
605,462,486.59,1,dinner,1
606,206,330.24,2,dinner,0
607,2133,271.23,2,late,0
608,2674,533.12,3,lunch,0
609,2181,444.24,1,lunch,0
610,715,446.43,2,lunch,1
611,482,527.22,3,dinner,1
612,2400,496.63,3,lunch,0
613,698,417.71,1,dinner,0
614,2574,475.79,1,dinner,0
615,2648,390.12,2,dinner,1
616,1403,528.84,2,dinner,1
617,1694,449.76,3,dinner,1
618,1238,597.73,3,lunch,0
619,2587,525.64,1,dinner,0
620,69,356.96,2,dinner,1
621,2310,639.44,3,late,1
622,133,557.6,1,lunch,0
623,1783,456.84,3,dinner,0
624,2103,429.24,2,lunch,0
625,2837,428.32,2,lunch,0
626,2065,606.29,1,dinner,0
627,2420,546.32,2,dinner,1
628,2758,236.55,3,lunch,0
629,1537,234.9,1,lunch,0
630,600,445.27,2,late,0
631,2960,550.47,2,dinner,0
632,2038,343.61,1,dinner,0
633,2007,454.11,1,lunch,0
634,1573,550.39,3,late,1
635,1978,463.32,1,dinner,0
636,2119,353.33,3,dinner,1
637,1501,470.45,3,lunch,0
638,742,564.06,1,dinner,0
639,1910,233.81,1,lunch,0
640,1786,370.55,1,dinner,0
641,2549,506.28,1,dinner,1
642,1904,511.98,2,dinner,0
643,251,432.91,2,dinner,0
644,1568,647.26,1,late,0
645,1737,535.38,2,dinner,0
646,1352,257.59,2,late,0
647,649,243.32,1,dinner,0
648,2981,457.38,1,lunch,1
649,2702,397.93,3,dinner,1
650,1323,255.38,3,lunch,0
651,960,531.4,1,dinner,0
652,1494,373.76,2,dinner,1
653,342,369.9,1,dinner,0
654,530,206.6,2,dinner,0
655,213,533.05,2,lunch,0
656,1580,419.24,3,late,0
657,2941,688.49,3,lunch,1
658,2004,470.02,2,late,0
659,1861,344.95,1,lunch,1
660,112,305.86,1,lunch,0
661,654,274.02,2,late,1
662,1020,603.04,3,dinner,1
663,1917,295.58,2,dinner,0
664,281,261.54,1,lunch,0
665,1313,274.86,3,dinner,0
666,2903,567.66,2,dinner,0
667,15,471.92,2,dinner,0
668,1807,419.37,1,dinner,0
669,2972,562.38,3,dinner,1
670,119,460.27,3,dinner,0
671,1001,407.86,1,dinner,0
672,2799,578.68,2,lunch,0
673,596,370.97,3,lunch,1
674,1394,371.08,2,dinner,0
675,325,412.17,3,dinner,0
676,589,436.51,2,dinner,1
677,1673,491.38,1,dinner,0
678,2984,332.19,1,dinner,0
679,1693,330.95,3,late,1
680,799,519.01,2,dinner,0
681,641,481.41,3,lunch,0
682,1444,395.98,2,dinner,1
683,326,422.45,1,dinner,0
684,2050,522.2,1,lunch,1
685,609,661.0,2,lunch,0
686,178,528.76,1,lunch,0
687,1530,310.76,2,lunch,0
688,957,484.62,1,lunch,0
689,2375,609.8,1,lunch,0
690,342,452.12,2,dinner,0
691,1679,650.15,2,dinner,0
692,1834,451.88,2,late,0
693,2772,464.92,2,lunch,1
694,2954,532.3,2,dinner,0
695,2916,420.99,1,dinner,1
696,2618,564.14,3,dinner,1
697,289,619.86,2,late,1
698,125,546.53,1,lunch,1
699,140,275.98,1,lunch,0
700,1265,400.5,2,lunch,0
701,2506,326.54,1,lunch,0
702,453,355.13,3,late,0
703,2537,305.25,1,late,0
704,2507,344.07,1,dinner,0
705,2676,445.9,1,lunch,1
706,501,512.31,3,dinner,0
707,2244,607.65,1,lunch,0
708,1780,267.31,1,dinner,0
709,1983,398.27,2,lunch,1
710,2053,522.52,3,dinner,0
711,2290,484.83,2,dinner,0
712,2273,393.9,3,dinner,0
713,594,518.17,1,dinner,0
714,2413,428.32,3,dinner,0
715,2013,605.18,2,dinner,0
716,1045,681.39,2,dinner,0
717,1451,289.41,1,lunch,0
718,754,474.54,2,lunch,0
719,2146,628.12,2,lunch,0
720,1683,407.1,3,lunch,0
721,980,581.2,2,dinner,0
722,447,348.5,1,dinner,0
723,449,474.11,2,dinner,1
724,2223,400.07,2,late,0
725,2565,369.69,1,late,0
726,1951,545.56,2,dinner,1
727,2748,389.95,2,dinner,1
728,2732,492.78,1,lunch,1
729,1405,361.25,3,dinner,1
730,2495,498.51,3,lunch,0
731,4,400.1,3,late,1
732,116,418.56,1,lunch,0
733,2731,390.26,2,dinner,1
734,2646,340.87,3,dinner,1
735,1035,448.21,2,dinner,0
736,1387,437.8,1,lunch,0
737,474,433.66,3,dinner,0
738,913,504.51,1,lunch,0
739,933,512.95,1,dinner,1
740,1342,418.47,3,lunch,0
741,1797,394.94,3,lunch,0
742,950,436.36,3,dinner,0
743,747,484.76,3,dinner,0
744,794,248.61,1,late,0
745,2843,449.53,2,lunch,0
746,2910,322.52,2,late,0
747,1602,231.23,2,dinner,0
748,1088,342.2,2,lunch,1
749,1887,582.29,2,late,1
750,2253,428.22,1,dinner,0
751,1934,431.7,1,dinner,1
752,1426,461.19,2,lunch,0
753,640,634.98,3,late,0
754,2623,469.52,1,late,0
755,806,613.17,1,late,0
756,2996,417.15,1,late,1
757,1963,417.93,1,dinner,1
758,2776,545.16,1,lunch,0
759,1092,660.82,3,lunch,0
760,258,250.59,3,late,0
761,545,564.33,2,lunch,1
762,1753,426.7,1,dinner,1
763,609,403.34,1,dinner,1
764,523,398.48,1,lunch,1
765,1274,427.55,2,late,1
766,310,504.36,2,dinner,0
767,2624,313.96,2,dinner,0
768,2410,535.7,1,lunch,1
769,2960,474.22,1,lunch,1
770,2803,548.87,2,lunch,0
771,1717,342.12,2,lunch,1
772,2375,750.69,2,lunch,1
773,995,333.83,2,dinner,0
774,2067,278.02,3,late,0
775,23,426.74,1,dinner,0
776,15,502.47,2,dinner,0
777,1983,594.21,3,late,1
778,2989,284.59,3,dinner,0
779,907,360.08,3,lunch,0
780,558,349.7,2,dinner,1
781,255,335.44,3,late,0
782,1030,430.05,2,dinner,0
783,2881,512.47,2,dinner,0
784,607,402.0,2,lunch,0
785,1984,535.13,1,lunch,0
786,1446,304.56,1,dinner,0
787,2606,573.92,1,lunch,0
788,404,363.05,2,dinner,1
789,1113,495.38,1,dinner,0
790,516,373.1,1,late,0
791,2827,301.85,2,dinner,0
792,1603,377.57,2,lunch,0
793,793,256.18,1,lunch,1
794,1635,513.68,2,lunch,1
795,1796,355.17,1,dinner,0
796,561,455.79,1,late,0
797,2769,498.97,2,dinner,1
798,140,365.78,1,lunch,0
799,183,271.29,1,lunch,0
800,619,236.91,2,lunch,0
801,596,244.13,2,lunch,1
802,698,478.07,2,dinner,1
803,312,510.2,2,lunch,0
804,2201,530.71,3,dinner,0
805,2191,482.09,2,dinner,1
806,132,723.84,2,lunch,1
807,686,300.06,2,dinner,0
808,2277,390.15,1,dinner,0
809,2266,486.75,1,lunch,1
810,2635,382.27,2,late,0
811,2818,440.28,2,dinner,0
812,2955,457.48,2,lunch,0
813,1454,453.78,3,dinner,0
814,436,690.71,2,late,1
815,45,303.61,2,lunch,0
816,1446,507.3,1,dinner,1
817,1575,484.11,1,lunch,0
818,746,416.87,2,lunch,0
819,1876,435.7,1,dinner,0
820,1877,564.72,2,dinner,1
821,1259,338.64,1,dinner,1
822,1376,530.75,3,lunch,1
823,1485,456.47,3,late,0
824,797,442.75,1,dinner,0
825,268,343.76,1,dinner,0
826,72,504.82,1,dinner,0
827,2649,399.52,2,dinner,0
828,2739,530.57,1,late,0
829,2520,381.37,1,dinner,0
830,1820,535.03,1,dinner,0
831,2708,495.93,1,lunch,1
832,581,416.65,1,dinner,0
833,2601,600.48,2,dinner,0
834,2954,249.97,2,dinner,0
835,741,410.53,1,lunch,1
836,2944,285.49,1,dinner,1
837,1328,377.59,3,lunch,1
838,1723,323.34,3,lunch,1
839,1479,501.04,1,lunch,1
840,2260,620.02,1,dinner,0
841,670,475.93,2,late,0
842,2088,390.98,1,dinner,0
843,474,542.33,2,dinner,0
844,914,380.57,2,lunch,0
845,875,514.33,1,dinner,0
846,1141,626.24,1,dinner,1
847,790,554.93,1,dinner,0
848,115,345.28,2,dinner,1
849,2054,376.34,2,dinner,0
850,2326,632.78,2,lunch,0
851,1977,453.0,3,lunch,0
